dist_code,month,documents_registered_cnt,documents_registered_rev,estamps_challans_cnt,estamps_challans_rev,diff,total,avg_per
14_1,01-05-2022,2983,111506589,3112,116263639,4757050,227770228,51%
20_1,01-10-2022,2403,112008092,2476,116760177,4752085,228768269,51%
22_2,01-03-2021,879,17503836,920,18245061,741225,35748897,51%
15_1,01-08-2021,18465,2571595770,20042,2680426002,108830232,5252021772,51%
22_1,01-09-2022,3108,154477928,3240,160942887,6464959,315420815,51%
14_2,01-06-2021,1664,20198618,1712,21039131,840513,41237749,51%
23_3,01-01-2022,7001,192510226,7652,200414542,7904316,392924768,51%
17_3,01-01-2021,3867,44888287,3989,46725414,1837127,91613701,51%
17_1,01-06-2021,836,25002516,984,26019782,1017266,51022298,51%
15_3,01-02-2023,1378,41844930,1427,43546323,1701393,85391253,51%
19_3,01-09-2022,1829,56746850,1712,59051978,2305128,115798828,51%
22_1,01-03-2021,5396,148814056,5721,154833480,6019424,303647536,51%
20_4,01-02-2021,2054,46597190,2248,48476258,1879068,95073448,51%
19_1,01-11-2022,946,33759529,1038,35119462,1359933,68878991,51%
17_2,01-11-2021,5666,671048962,6226,698017526,26968564,1369066488,51%
15_1,01-03-2023,21524,3573491897,23030,3716779175,143287278,7290271072,51%
21_2,01-03-2022,976,22753979,1064,23660304,906325,46414283,51%
14_2,01-03-2023,1607,28900448,1641,30044795,1144347,58945243,51%
22_1,01-01-2023,2864,141968542,3183,147506078,5537536,289474620,51%
14_2,01-01-2021,3346,41289122,3561,42898294,1609172,84187416,51%
20_2,01-06-2022,1515,50572152,1583,52524470,1952318,103096622,51%
14_1,01-10-2021,2700,79052206,2816,82062938,3010732,161115144,51%
21_5,01-05-2022,1353,35282201,1384,36625583,1343382,71907784,51%
17_3,01-09-2022,3072,88961809,3069,92339915,3378106,181301724,51%
15_1,01-03-2022,23614,3560733909,25016,3694327454,133593545,7255061363,51%
20_3,01-06-2021,1924,21477044,2047,22282195,805151,43759239,51%
14_1,01-02-2023,2480,74664336,2532,77460885,2796549,152125221,51%
18_1,01-07-2021,4979,109687322,5839,113775408,4088086,223462730,51%
21_1,01-10-2022,3239,185221811,3517,192096503,6874692,377318314,51%
21_6,01-01-2023,1093,15129967,1153,15687215,557248,30817182,51%
19_3,01-01-2023,2173,52574678,2229,54503596,1928918,107078274,51%
19_3,01-07-2022,1179,41714048,1308,43239921,1525873,84953969,51%
20_2,01-10-2021,1463,49752658,1493,51568617,1815959,101321275,51%
16_1,01-03-2021,6347,887083310,6890,919447441,32364131,1806530751,51%
21_6,01-03-2023,834,20521996,864,21267953,745957,41789949,51%
21_1,01-05-2022,4196,243365485,4448,252150075,8784590,495515560,51%
20_4,01-10-2022,1002,42617639,992,44153763,1536124,86771402,51%
20_1,01-03-2021,3832,88077953,3890,91217145,3139192,179295098,51%
21_1,01-08-2021,4090,202169425,4613,209279113,7109688,411448538,51%
16_1,01-11-2021,5114,1067020226,5672,1104141226,37121000,2171161452,51%
22_2,01-07-2022,472,23931453,478,24760656,829203,48692109,51%
18_2,01-10-2021,1587,35143474,1620,36337889,1194415,71481363,51%
15_3,01-04-2022,1404,35732768,1452,36942980,1210212,72675748,51%
14_2,01-03-2022,1754,36638435,1805,37870009,1231574,74508444,51%
14_2,01-01-2023,1286,30260131,1344,31259755,999624,61519886,51%
21_1,01-11-2021,3144,174374187,3511,180127540,5753353,354501727,51%
17_3,01-08-2022,2761,80566072,2898,83214225,2648153,163780297,51%
18_1,01-01-2023,4076,121234859,4347,125215308,3980449,246450167,51%
15_1,01-08-2022,18330,3165250183,19162,3268908071,103657888,6434158254,51%
17_3,01-07-2021,3780,59350115,3810,61291921,1941806,120642036,51%
21_2,01-06-2022,796,19641045,842,20282784,641739,39923829,51%
20_4,01-01-2022,1304,72953110,1390,75302675,2349565,148255785,51%
19_3,01-12-2022,1648,51556856,1662,53216904,1660048,104773760,51%
14_4,01-01-2023,1584,33370482,1618,34443499,1073017,67813981,51%
15_1,01-04-2021,21898,2018852163,22535,2083518088,64665925,4102370251,51%
22_1,01-10-2022,2636,124582833,2770,128487551,3904718,253070384,51%
17_3,01-02-2022,3339,91021281,3142,93806277,2784996,184827558,51%
16_1,01-03-2022,5768,1169123561,6445,1204838825,35715264,2373962386,51%
19_2,01-06-2022,1321,31686371,1357,32650406,964035,64336777,51%
23_3,01-03-2023,5308,172547389,5606,177729919,5182530,350277308,51%
18_2,01-03-2021,2700,33325709,2830,34320137,994428,67645846,51%
14_1,01-09-2022,2479,78865422,2542,81191094,2325672,160056516,51%
21_2,01-07-2022,791,20401003,831,21001687,600684,41402690,51%
